language,id,text,file,node,line_number,lock,comment
de-CH,line:1,"Da sass einmal ein älterer Mann allein auf einem dunklen Pfad. Er war sich nicht sicher, in welche Richtung er gehen sollte, und er hatte vergessen, wohin er reiste und wer er war. Er hatte sich einen Moment hingesetzt, um seine müden Beine auszuruhen, als er plötzlich aufblickte und eine ältere Frau vor sich sah. Sie grinste zahnlos und sprach mit einem Gackern:",lines_with_ids.yarn,Start,3,23beac47,
de-CH,line:2,Hexe: Und jetzt zu deinem *dritten* Wunsch. Was wünschst du dir also?,lines_with_ids.yarn,Start,4,ccf66591,
de-CH,line:3,Mann: Dritter Wunsch?,lines_with_ids.yarn,Start,5,14900043,
de-CH,line:4,Der Mann war perplex.,lines_with_ids.yarn,Start,6,b81f8e6a,
de-CH,line:5,"Mann: Wie kann das denn ein dritter Wunsch sein, wenn ich noch keinen ersten und zweiten Wunsch hatte?",lines_with_ids.yarn,Start,7,7513458d,
de-CH,line:6,"Hexe: Du hattest schon zwei Wünsche, aber dein zweiter Wunsch war, dass alles wieder wie vor deinem ersten Wunsch sein sollte. Deshalb erinnerst du dich auch an nichts, weil alles wieder genauso ist wie vorher, bevor du deine Wünsche ausgesprochen hast.",lines_with_ids.yarn,Start,8,1c47da88,
de-CH,line:7,Sie gackerte den armen Dussel an,lines_with_ids.yarn,Start,9,59c5420a,
de-CH,line:8,Hag: Und deshalb hast du jetzt nur noch einen Wunsch übrig.,lines_with_ids.yarn,Start,10,6c1597d9,
de-CH,line:9,"Mann: Also gut. Ich glaub das zwar nicht, aber es kann ja nicht schaden, wenn ich mir was wünsche. Ich möchte wissen, wer ich bin.",lines_with_ids.yarn,Start,12,4a6d7b90,
de-CH,line:11,Die alte Frau grinste als die den Wunsch gewährte und für immer verschwand.,lines_with_ids.yarn,Start,15,5e77a91e,
de-CH,line:12,Hexe: Das war auch dein erster Wunsch gewesen.,lines_with_ids.yarn,Start,16,0989d86f,
